"PersonID","Name","Gender","BirthYear","DeathYear","BirthPlace","DeathPlace"
500,"Bilgah","M",,,,
501,"Bilgah","M",,,,
502,"Bilhah","F",,,,
503,"Bilhan","M",,,,
504,"Bilhan","M",,,,
505,"Bilshan","M",,,,
506,"Bimhal","M",,,,
507,"Binea","M",,,,
508,"Binnui","M",,,,
509,"Binnui","M",,,,
510,"Binnui","M",,,,
511,"Binnui","M",,,,
512,"Binnui","M",,,,
513,"Birsha","M",,,,
514,"Birzavith","F",,,,
515,"Bishlam","M",,,,
516,"Bithiah","F",,,,
517,"Biztha","M",,,,
518,"Blastus","M",,,,
519,"Boaz","M",,,,
520,"Bocheru","M",,,,
521,"Bohan","M",,,,
522,"Bukki","M",,,,
523,"Bukki","M",,,,
524,"Bukkiah","M",,,,
525,"Bunah","M",,,,
526,"Bunni","M",,,,
527,"Bunni","M",,,,
528,"Bunni","M",,,,
529,"Buz","M",,,,
530,"Buz","M",,,,
531,"Buzi","M",,,,
532,"Caiaphas","M",,,,
533,"Cain","M","3939 BC",,"Eden",
534,"Cainan","M","3616 BC","2706 BC",,
535,"Cainan","M",,,,
536,"Calcol","M",,,,
537,"Caleb","M",,,,
538,"Caleb","M",,,,
539,"Azariah","M",,,,
540,"Azariah","M",,,,
541,"Azariah","M",,,,
542,"Azariah","M",,,,
543,"Azariah","M",,,,
544,"Azariah","M",,,,
545,"Azariah","M",,,,
546,"Azaz","M",,,,
547,"Azaziah","M",,,,
548,"Azaziah","M",,,,
549,"Azaziah","M",,,,
550,"Azbuk","M",,,,
551,"Azel","M",,,,
552,"Azgad","M",,,,
553,"Azgad","M",,,,
554,"Aziza","M",,,,
555,"Azmaveth","M",,,,
556,"Azmaveth","M",,,,
557,"Azmaveth","M",,,,
558,"Azmaveth","M",,,,
559,"Azor","M",,,,
560,"Azriel","M",,,,
561,"Azriel","M",,,,
562,"Azriel","M",,,,
563,"Azrikam","M",,,,
564,"Azrikam","M",,,,
565,"Azrikam","M",,,,
566,"Azrikam","M",,,,
567,"Azubah","F",,,,
568,"Azubah","F",,,,
569,"Azur","M",,,,
570,"Azur","M",,,,
571,"Azzan","M",,,,
572,"Azzur","M",,,,
573,"Baal","M",,,,
574,"Baal","M",,,,
575,"Baal","M",,,,
576,"Baal-hanan","M",,,,
577,"Baal-hanan","M",,,,
578,"Baalis","M",,,,
579,"Baal-zebub","M",,,,
580,"Baana","M",,,,
581,"Baana","M",,,,
582,"Baanah","M",,,,
583,"Baanah","M",,,,
584,"Baanah","M",,,,
585,"Baanah","M",,,,
586,"Baanah","M",,,,
587,"Baara","F",,,,
588,"Baaseiah","M",,,,
589,"Baasha","M",,,,
590,"Bakbakkar","M",,,,
591,"Bakbuk","M",,,,
592,"Bakbukiah","M",,,,
593,"Balaam","M",,,,
594,"Baladan","M",,,,
595,"Igeal","M",,,,
596,"Ikkesh","M",,,,
597,"Imla","M",,,,
598,"Immer","M",,,,
599,"Immer","M",,,,
600,"Immer","M",,,,
601,"Imna","M",,,,
602,"Imnah","M",,,,
603,"Imrah","M",,,,
604,"Imri","M",,,,
605,"Imri","M",,,,
606,"Iphedeiah","M",,,,
607,"Ir","M",,,,
608,"Ira","M",,,,
609,"Ira","M",,,,
610,"Ira","M",,,,
611,"Irad","M",,,,
612,"Iram","M",,,,
613,"Iri","M",,,,
614,"Irijah","M",,,,
615,"Iru","M",,,,
616,"Isaac","M","1895 BC","1715 BC",,
617,"Isaiah","M",,,,
618,"Iscah","M",,,,
619,"Ishbah","M",,,,
620,"Ishbak","M",,,,
621,"Ishbi-benob","M",,,,
622,"Ish-bosheth","M",,"1001 BC",,
623,"Ishi","M",,,,
624,"Ishi","M",,,,
625,"Ishi","M",,,,
626,"Ishi","M",,,,
627,"Ishiah","M",,,,
628,"Ishijah","M",,,,
629,"Ishma","M",,,,
630,"Ishmael","M","1909 BC",,,
631,"Ishmael","M",,,,
632,"Ishmael","M",,,,
633,"Ishmael","M",,,,
634,"Ishmael","M",,,,
635,"Ishmael","M",,,,
636,"Ishmaiah","M",,,,
637,"Ishmerai","M",,,,
638,"Ishod","M",,,,
639,"Ishpan","M",,,,
640,"Isuah","M",,,,
641,"Abinadab","M",,,,
642,"Ismachiah","M",,,,
643,"Ismaiah","M",,,,
644,"Ispah","M",,,,
645,"Issachar","M","1773 BC",,,
646,"Issachar","M",,,,
647,"Jeshaiah","M",,,,
648,"Isui","M",,,,
649,"Ithamar","M",,,,
650,"Ithiel","M",,,,
651,"Ithiel","M",,,,
652,"Ithmah","M",,,,
653,"Ithran","M",,,,
654,"Jether","M",,,,
655,"Ithream","M",,,"Hebron",
656,"Ittai","M",,,,
657,"Ittai","M",,,,
658,"Izhar","M",,,,
659,"Izrahiah","M",,,,
660,"Jaakobah","M",,,,
661,"Jaala","M",,,,
662,"Jaalam","M",,,,
663,"Jaanai","M",,,,
664,"Jair","M",,,,
665,"Jaasau","M",,,,
666,"Jaasiel","M",,,,
667,"Jezaniah","M",,,,
668,"Jaazaniah","M",,,,
669,"Jaazaniah","M",,,,
670,"Jaazaniah","M",,,,
671,"Jaaziah","M",,,,
672,"Jaaziel","M",,,,
673,"Jabal","M",,,,
674,"Jabesh","M",,,,
675,"Jabez","M",,,,
676,"Jabin","M",,,,
677,"Jabin","M",,,,
678,"Jachan","M",,,,
679,"Jachin","M",,,,
680,"Jachin","M",,,,
681,"Jachin","M",,,,
682,"Israel","M","1835 BC","1688 BC",,"Egypt"
683,"Jacob","M",,,,
684,"Jada","M",,,,
685,"Jadau","M",,,,
686,"Jaddua","M",,,,
687,"Jaddua","M",,,,
688,"Jadon","M",,,,
689,"Jael","F",,,,
690,"Jahath","M",,,,
691,"Shimei","M",,,,
692,"Jahath","M",,,,
693,"Jahath","M",,,,
694,"Jahath","M",,,,
695,"Jahaziah","M",,,,
696,"Jahaziel","M",,,,
697,"Jahaziel","M",,,,
698,"Jahaziel","M",,,,
699,"Jahaziel","M",,,,
700,"Jahaziel","M",,,,
701,"Jahdai","M",,,,
702,"Jahdiel","M",,,,
703,"Jahdo","M",,,,
704,"Jahleel","M",,,,
705,"Jahmai","M",,,,
706,"Jahzeel","M",,,,
707,"Jahzerah","M",,,,
708,"Jair","M",,,,
709,"Jair","M",,,,
710,"Jair","M",,,,
711,"Jairus","M",,,,
712,"Jakeh","M",,,,
713,"Jakim","M",,,,
714,"Jakim","M",,,,
715,"Jalon","M",,,,
716,"Jambres","M",,,,
717,"James","M",,,,
718,"James","M",,,,
719,"James","M",,,,
720,"Jamin","M",,,,
721,"Jamin","M",,,,
722,"Jamin","M",,,,
723,"Jamlech","M",,,,
724,"Janna","M",,,,
725,"Jannes","M",,,,
726,"Japheth","M","2385 BC",,,
727,"Japhia","M",,,,
728,"Japhia","M",,,"Jerusalem",
729,"Japhlet","M",,,,
730,"Jared","M","3481 BC","2629 BC",,
731,"Jaresiah","M",,,,
732,"Jarha","M",,,,
733,"Jarib","M",,,,
734,"Jarib","M",,,,
735,"Jaroah","M",,,,
736,"Jashen","M",,,,
737,"Jasher","M",,,,
738,"Jashobeam","M",,,,
739,"Jashobeam","M",,,,
740,"Jashub","M",,,,
741,"Jasiel","M",,,,
742,"Jason","M",,,,
743,"Jathniel","M",,,,
744,"Javan","M",,,,
745,"Jaziz","M",,,,
746,"Jeaterai","M",,,,
747,"Jeberechiah","M",,,,
748,"Jebusite","M",,,,
749,"Jecamiah","M",,,,
750,"Jecoliah","F",,,,
751,"Jedaiah","M",,,,
752,"Jedaiah","M",,,,
753,"Jedaiah","M",,,,
754,"Jedaiah","M",,,,
755,"Jedaiah","M",,,,
756,"Jedaiah","M",,,,
757,"Jediael","M",,,,
758,"Jediael","M",,,,
759,"Jediael","M",,,,
760,"Jediael","M",,,,
761,"Jedidah","F",,,,
762,"Jeduthun","M",,,,
763,"Abiezer","M",,,,
764,"Jehaleleel","M",,,,
765,"Jehalelel","M",,,,
766,"Jehdeiah","M",,,,
767,"Jehdeiah","M",,,,
768,"Jehezekel","M",,,,
769,"Jehiel","M",,,,
770,"Jehiel","M",,,,
771,"Jehiel","M",,,,
772,"Jehiel","M",,,,
773,"Jehiel","M",,"0846 BC","Jerusalem","Jerusalem"
774,"Jehiel","M",,,,
775,"Jehiel","M",,,,
776,"Jehiel","M",,,,
777,"Jehiel","M",,,,
778,"Jehiel","M",,,,
779,"Jehiel","M",,,,
780,"Jehiel","M",,,,
781,"Jehizkiah","M",,,,
782,"Jarah","M",,,,
783,"Jehoaddan","F",,,,
784,"Jehoahaz","M",,,,
785,"Jehohanan","M",,,,
786,"Jehohanan","M",,,,
787,"Jehohanan","M",,,,
788,"Jehohanan","M",,,,
789,"Jehohanan","M",,,,
790,"Jehohanan","M",,,,
791,"Jehoiachin","M","0616 BC",,"Jerusalem","Babylon"
792,"Jehoiada","M",,,,
793,"Jehoiada","M",,,,
794,"Jehoiada","M",,,,
795,"Jehoiada","M",,,,
796,"Jehoiada","M",,,,
797,"Joiarib","M",,,,
798,"Jehoiarib","M",,,,
799,"Jonadab","M",,,,
800,"Jehonathan","M",,,,
801,"Jehonathan","M",,,,
802,"Jehonathan","M",,,,
803,"Jehoram","M","0802 BC","0844 BC","Jerusalem","Jerusalem"
804,"Joram","M",,,,
805,"Jehoram","M",,,,
806,"Jehoshaphat","M",,,,
807,"Jehoshaphat","M",,,,
808,"Jehoshaphat","M",,"0847 BC","Jerusalem","Jerusalem"
809,"Jehoshaphat","M",,,,
810,"Jehoshaphat","M",,,,
811,"Jehoshabeath","F",,,"Jerusalem",
812,"Jehozabad","M",,,,
813,"Jehozabad","M",,,,
814,"Jehozabad","M",,,,
815,"Josedech","M",,,,
816,"Jehu","M",,,,
817,"Jehu","M",,,,
818,"Jehu","M",,,,
819,"Jehu","M",,,,
820,"Jehu","M",,,,
821,"Jehubbah","M",,,,
822,"Jucal","M",,,,
823,"Jehudi","M",,,,
824,"Jehudijah","F",,,,
825,"Jehush","M",,,,
826,"Jeiel","M",,,,
827,"Jeiel","M",,,,
828,"Jeiel","M",,,,
829,"Jeiel","M",,,,
830,"Jeiel","M",,,,
831,"Jeiel","M",,,,
832,"Jeiel","M",,,,
833,"Jeiel","M",,,,
834,"Jekameam","M",,,,
835,"Jekamiah","M",,,,
836,"Jekuthiel","M",,,,
837,"Jemima","F",,,,
838,"Jemuel","M",,,,
839,"Jephthah","M",,,,
840,"Jephunneh","M",,,,
841,"Jephunneh","M",,,,
842,"Jerah","M",,,,
843,"Jerahmeel","M",,,,
844,"Jerahmeel","M",,,,
845,"Jerahmeel","M",,,,
846,"Jered","M",,,,
847,"Jeremai","M",,,,
848,"Jeremiah","M",,,,
849,"Jeremiah","M",,,,
850,"Jeremiah","M",,,,
851,"Jeremiah","M",,,,
852,"Jeremiah","M",,,,
853,"Jeremiah","M",,,,
854,"Jeremiah","M",,,,
855,"Jeremiah","M",,,,
856,"Jeremoth","M",,,,
857,"Jeremoth","M",,,,
858,"Jeremoth","M",,,,
859,"Jeremoth","M",,,,
860,"Jeriah","M",,,,
861,"Jeribai","M",,,,
862,"Jeriel","M",,,,
863,"Jerijah","M",,,,
864,"Jerimoth","M",,,,
865,"Jerimoth","M",,,,
866,"Jerimoth","M",,,,
867,"Jerimoth","M",,,,
868,"Jerimoth","M",,,,
869,"Jerimoth","M",,,"Jerusalem",
870,"Jerimoth","M",,,,
871,"Jerioth","F",,,,
872,"Jeroboam","M",,,,
873,"Jeroboam","M",,,,
874,"Jeroham","M",,,,
875,"Jeroham","M",,,,
876,"Jeroham","M",,,,
877,"Jeroham","M",,,,
878,"Jeroham","M",,,,
879,"Jeroham","M",,,,
880,"Jeroham","M",,,,
881,"Jerubbesheth","M",,,,
882,"Jerushah","F",,,,
883,"Jesaiah","M",,,,
884,"Jesaiah","M",,,,
885,"Jeshaiah","M",,,,
886,"Jeshaiah","M",,,,
887,"Jeshaiah","M",,,,
888,"Jeshebeab","M",,,,
889,"Jesher","M",,,,
890,"Jeshishai","M",,,,
891,"Jeshohaiah","M",,,,
892,"Jeshua","M",,,,
893,"Joshua","M",,,,
894,"Jeshua","M",,,,
895,"Jeshua","M",,,,
896,"Jeshua","M",,,,
897,"Jeshua","M",,,,
898,"Jeshua","M",,,,
899,"Jeshua","M",,,,
900,"Jesiah","M",,,,
901,"Isshiah","M",,,,
902,"Jesimiel","M",,,,
903,"Jesse","M",,,,
904,"Jesus","M",,,,
905,"Jesus","M","0006 BC","30","Bethlehem","Jerusalem"
906,"Jether","M",,,,
907,"Jether","M",,,,
908,"Jether","M",,,,
909,"Jether","M",,,,
910,"Jetheth","M",,,,
911,"Jetur","M",,,,
912,"Jeuel","M",,,,
913,"Jeush","M",,,,
914,"Canaan","M",,,,
915,"woman","F",,,,
